"stage","edad","cutoff_age","n_teachers","se_raw","se_harshness","raw_repetition_rate","relative_harshness","raw_repetition_rate_pp","relative_harshness_pp","raw_low","raw_high","harshness_low","harshness_high"
"Primary teachers",25,34,9,0.0791381725964767,0.076999050435608,0.467372134038801,0.00962115123302049,46.7372134038801,0.962115123302049,31.2261315749706,62.2482952327895,-14.1296987620771,16.0539290086812
"Primary teachers",26,34,17,0.0648701981777442,0.0688752903482448,0.505602240896359,-0.00235422600786056,50.5602240896359,-0.235422600786056,37.845665246798,63.2747829324737,-13.734979509042,13.2641343074699
"Primary teachers",27,34,10,0.0645513826449267,0.092846454285332,0.4625,-0.0730421537202101,46.25,-7.30421537202101,33.5979290015944,58.9020709984056,-25.5021204119461,10.8936896679041
"Primary teachers",28,34,11,0.0670200482282903,0.050551864872099,0.461940836940837,-0.0322044256421031,46.1940836940837,-3.22044256421031,33.0581542413388,59.3300131468286,-13.1286080791417,6.68772295072108
"Primary teachers",29,34,16,0.0587211297556042,0.0584070041321604,0.497767857142857,-0.00504462161301662,49.7767857142857,-0.504462161301662,38.2674442821873,61.2861271463841,-11.9522349712051,10.9433106486018
"Primary teachers",30,34,17,0.0340333512796031,0.0376222667428288,0.533146591970121,0.0644388257035722,53.3146591970121,6.44388257035722,46.6441223462099,59.9851960478143,-0.930081711237221,13.8178468519517
"Primary teachers",31,34,13,0.0553136168464391,0.0359421450191945,0.558760683760684,0.0590846529917503,55.8760683760684,5.90846529917503,45.0345994741663,66.7175372779704,-1.13619512458708,12.9531257229372
"Primary teachers",32,34,35,0.0348792965246554,0.0372420970842728,0.486179138321995,0.0112326797731297,48.6179138321995,1.12326797731297,41.7815717133671,55.454255951032,-6.1761830512045,8.42271900583043
"Primary teachers",33,34,16,0.0384373796565825,0.0360433691822881,0.55047123015873,0.0783430652321015,55.047123015873,7.83430652321015,47.5133966031828,62.5808494285632,0.76980616348168,14.8988068829386
"Primary teachers",34,34,30,0.0374844287169172,0.0439345800208687,0.445767195767196,-0.0303213213984038,44.5767195767196,-3.03213213984038,37.2297715482038,51.9236676052353,-11.6433098239306,5.57904554424989
"Primary teachers",35,34,19,0.0473225641247751,0.0389459309549631,0.459482038429407,-0.0179553234287796,45.9482038429407,-1.79553234287796,36.6729812744848,55.2234264113966,-9.42893481005073,5.83787012429481
"Primary teachers",36,34,34,0.0376594438697377,0.0319205670080032,0.514449112978525,0.0201792371815054,51.4449112978525,2.01792371815054,44.0636602993839,58.8261622963211,-4.23850741541809,8.27435485171918
"Primary teachers",37,34,34,0.0320530457001479,0.0377153485203529,0.441526610644258,-0.0398299902262758,44.1526610644258,-3.98299902262758,37.8702641071968,50.4350580216548,-11.3752073326167,3.40920928736158
"Primary teachers",38,34,29,0.039649260340845,0.0335390388564453,0.45012315270936,-0.0361780135105404,45.012315270936,-3.61780135105404,37.2410602441303,52.7835702977416,-10.1914529669173,2.95585026480925
"Primary teachers",39,34,48,0.0265711753586746,0.0244266974697,0.480224867724868,0.00944102174992334,48.0224867724868,0.944102174992334,42.8145364021865,53.230437142787,-3.84353052906886,5.73173487905353
"Primary teachers",40,34,41,0.027539561513545,0.0270062235913872,0.517469996128533,0.0397515174400254,51.7469996128533,3.97515174400254,46.3492455561985,57.1447536695081,-1.31806807990935,9.26837156791443
"Primary teachers",41,34,45,0.0310207441057315,0.0288721432910503,0.468077601410935,0.00226614226847858,46.8077601410935,0.226614226847858,40.7276942963701,52.8878259858169,-5.43232585819801,5.88555431189372
"Primary teachers",42,34,57,0.0295210825259033,0.0264416175134976,0.520885547201337,0.0139018225205576,52.0885547201337,1.39018225205576,46.3024225450566,57.8746868952107,-3.79237478058977,6.57273928470129
"Primary teachers",43,34,51,0.0333913543587427,0.0369659003764398,0.468759726112667,-0.0195446968748744,46.8759726112667,-1.95446968748744,40.3312671569532,53.4206780655803,-9.19978616126964,5.29084678629475
