"stage","outcome","bandwidth_years","n_teachers","jump_bologna_minus_pre_pp","se","p_value"
"Primary teachers","Raw repetition rate",5,291,-0.542221803881413,4.93958021006291,0.912667842745877
"Primary teachers","Relative harshness",5,291,1.61303214700802,4.8408032056719,0.73921468186086
"Secondary teachers","Raw repetition rate",5,359,-8.51653691627726,4.53179147655705,0.0610242914592081
"Secondary teachers","Relative harshness",5,359,-3.19901506558499,4.24286069235867,0.451363445226872
"Primary teachers","Raw repetition rate",7,398,1.95628514776894,4.11052151609912,0.634394153056151
"Primary teachers","Relative harshness",7,398,4.46415742361193,4.03782126102497,0.269580518140867
"Secondary teachers","Raw repetition rate",7,538,-5.27411603521541,3.66685570243627,0.150928755436222
"Secondary teachers","Relative harshness",7,538,-0.657381031429033,3.34221293445424,0.844144696624405
"Primary teachers","Raw repetition rate",10,588,1.30783569689439,3.60070508480475,0.716574553390354
"Primary teachers","Relative harshness",10,588,1.74199731223739,3.6080249574411,0.629410246286519
"Secondary teachers","Raw repetition rate",10,779,-1.09423020430095,3.11944800561349,0.725851077533691
"Secondary teachers","Relative harshness",10,779,1.36622825626373,2.93894831378523,0.642155290810069
