"id","edad","nivel","experiencia","female","treatment","politica","raw_repetition_rate","relative_harshness","stage","cutoff_age","years_from_cutoff","bologna_cohort","cutoff_side"
"R_8UhJCYm5UkDu2Mg",48,"E. Primaria",23,"0","3","1",0.5,0.0365059713703541,"Primary teachers",34,14,"Pre-Bologna training","Older side"
"R_8D2pAbnl1ZLZFp3",50,"E. Secundaria",20,"0","9","3",0.333333333333333,-0.0882231831597806,"Secondary teachers",39,11,"Pre-Bologna training","Older side"
"R_8kLRqttvTMiXag1",48,"E. Primaria",26,"0","2","3",0.444444444444444,-0.0799678608401575,"Primary teachers",34,14,"Pre-Bologna training","Older side"
"R_8X53tewDLs5YrAK",51,"E. Secundaria",5,"1","3","1",0.333333333333333,-0.201140612487552,"Secondary teachers",39,12,"Pre-Bologna training","Older side"
"R_20j9NwOZdfBjlrJ",44,"E. Primaria",9,"1","10","3",0.555555555555556,0.0329134660921206,"Primary teachers",34,10,"Pre-Bologna training","Older side"
"R_80YW5iX2VECGwKi",49,"E. Secundaria",18,"0","8","3",0.555555555555556,0.0215024239135477,"Secondary teachers",39,10,"Pre-Bologna training","Older side"
"R_2XgmAcg57dbOSTA",44,"E. Primaria",17,"0","7","2",0.555555555555556,0.133277124727474,"Primary teachers",34,10,"Pre-Bologna training","Older side"
"R_8GxBSIC36b1XQea",25,"E. Secundaria",2,"1","6","2",0.555555555555556,0.04440427520803,"Secondary teachers",39,-14,"Bologna-era training","Younger side"
"R_8p3IUhVffhQssLv",55,"E. Secundaria",1,"1","3","2",0.666666666666667,0.142960952109887,"Secondary teachers",39,16,"Pre-Bologna training","Older side"
"R_2AEBA0CV4x9Hket",41,"E. Primaria",18,"0","7","2",0.333333333333333,-0.0789405974288757,"Primary teachers",34,7,"Pre-Bologna training","Older side"
"R_8ILRIzCvw5oKsxb",51,"E. Secundaria",25,"0","3","2",0.375,0.0188307167814037,"Secondary teachers",39,12,"Pre-Bologna training","Older side"
"R_8fvkltctrVVqCCE",49,"E. Primaria",23,"0","10","2",0.666666666666667,0.131541173493269,"Primary teachers",34,15,"Pre-Bologna training","Older side"
"R_2AQE5mbBm1i0HGl",55,"E. Secundaria",16,"1","3","3",0.333333333333333,-0.0882231831597806,"Secondary teachers",39,16,"Pre-Bologna training","Older side"
"R_2FWggbayreyzEc1",42,"E. Primaria",15,"1","1","3",0.428571428571429,0.0199620208977385,"Primary teachers",34,8,"Pre-Bologna training","Older side"
"R_8SwdvK7pgxmLWme",52,"E. Primaria",20,"0","6","2",0.444444444444444,-0.060369716559316,"Primary teachers",34,18,"Pre-Bologna training","Older side"
"R_2vsUSt8TRjpbV8B",54,"E. Secundaria",25,"1","1","3",0.375,0.0188307167814037,"Secondary teachers",39,15,"Pre-Bologna training","Older side"
