term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
favorite_assigned_x_boy_within,-9.594004401975465e-4,0.011740654534410923,-0.08171609490643135,0.9348792284767985,-0.02398216097721108,0.022063360096815983,2423,19825
least_favorite_assigned_x_boy_within,-1.477308028677042e-4,0.011549059020991674,-0.012791587834055342,0.9897951209705291,-0.02279478335763126,0.02249932175189585,2423,19825
favorite_assigned_x_complex_background_within,-0.017188645945790216,0.011184859453139373,-1.5367780004571892,0.12447824829678265,-0.03912152371466156,0.004744231823081129,2423,19825
least_favorite_assigned_x_complex_background_within,-0.010064580414506473,0.011574634995322615,-0.8695376068941816,0.3846392746034981,-0.0327617860106355,0.012632625181622557,2423,19825
favorite_assigned_x_failed_subjects_within,-0.03267616341692741,0.01808937629748825,-1.8063731374455718,0.07098410212491008,-0.06814840881349944,0.0027960819796446212,2423,19825
least_favorite_assigned_x_failed_subjects_within,-0.01333007187588206,0.01852102420878336,-0.7197264970670706,0.4717628229520243,-0.04964875445097107,0.02298861069920695,2423,19825
favorite_assigned_x_low_competence_within,0.029019591941783773,0.01598756172843866,1.8151355681813413,0.06962665947327595,-0.0023311137761775833,0.06037029765974513,2423,19825
least_favorite_assigned_x_low_competence_within,0.042378089601889254,0.016674765342770147,2.5414504330799215,0.011101192811347015,0.009679816403209258,0.07507636280056926,2423,19825
favorite_assigned_x_absent_within,0.00738530349635191,0.011117529546107344,0.6642935794074661,0.5065656387843458,-0.014415544127007997,0.029186151119711817,2423,19825
least_favorite_assigned_x_absent_within,-0.003370791846451096,0.01115752126672557,-0.3021093812748189,0.7625946098257635,-0.02525006097557612,0.018508477282673932,2423,19825
favorite_assigned_x_disruptive_within,-0.002194482733282995,0.012334032079500797,-0.17792095229995653,0.8587999285835446,-0.026380823127672044,0.021991857661106055,2423,19825
least_favorite_assigned_x_disruptive_within,-0.004353380449306974,0.012066370655347021,-0.36078623586603004,0.7182907035676489,-0.028014851906003738,0.01930809100738979,2423,19825
