term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
treatment_armPolicy treatment:boy,-0.017381241943679012,0.016363929600283503,-1.0621679736007839,0.2882542893654602,-0.04946831731516982,0.014705833427811798,2704,22124
treatment_armRevelation treatment:boy,-0.012724940271360296,0.016373156168452987,-0.7771831002185211,0.4371187361899652,-0.04483010748237291,0.019380226939652318,2704,22124
treatment_armAwareness treatment:boy,-0.002891333376239302,0.016618565967135745,-0.17398212228161533,0.8618925360322203,-0.03547771035162903,0.029695043599150425,2704,22124
treatment_armPolicy treatment:complex_background,-0.00338884374755779,0.01632605267827751,-0.20757275590974827,0.8355782096689344,-0.03540164847129262,0.02862396097617704,2704,22124
treatment_armRevelation treatment:complex_background,-0.012317030516629322,0.016336326077288858,-0.7539657606218295,0.4509354304159662,-0.044349979749443,0.019715918716184354,2704,22124
treatment_armAwareness treatment:complex_background,-0.018258210846835165,0.0164630790838376,-1.1090398554156198,0.26751161519214617,-0.05053970265921494,0.014023280965544612,2704,22124
treatment_armPolicy treatment:failed_subjects,0.00880496245437549,0.026688845439606517,0.3299117031607833,0.741492235785707,-0.04352763833998913,0.061137563248740104,2704,22124
treatment_armRevelation treatment:failed_subjects,0.035138634057194765,0.026718476191979625,1.3151436408541408,0.1885731451636991,-0.017252067951727353,0.08752933606611688,2704,22124
treatment_armAwareness treatment:failed_subjects,-0.010339175661153385,0.02660654796703761,-0.3885951561233125,0.6976062444840749,-0.06251040414032814,0.04183205281802137,2704,22124
treatment_armPolicy treatment:low_competence,0.00906460211253417,0.022524385751388085,0.4024350414073136,0.6873956959039635,-0.03510215250909423,0.053231356734162565,2704,22124
treatment_armRevelation treatment:low_competence,-0.012931062666293094,0.022438495284677566,-0.576289207553202,0.5644676799166917,-0.05692939968002704,0.031067274347440856,2704,22124
treatment_armAwareness treatment:low_competence,0.014713745716089527,0.02239838363028472,0.656911050322183,0.5112940168689883,-0.029205938693458437,0.058633430125637494,2704,22124
treatment_armPolicy treatment:absent,-0.02265842657955682,0.018622672064060215,-1.2167118929879663,0.2238200404668225,-0.05917453834086042,0.013857685181746779,2704,22124
treatment_armRevelation treatment:absent,-0.008008241544184029,0.01867785970883873,-0.42875584617408663,0.66813506762823,-0.04463256754013897,0.028616084451770912,2704,22124
treatment_armAwareness treatment:absent,0.002258544392536168,0.018763589968349932,0.12036845808002829,0.9042002191708933,-0.034533885070357775,0.03905097385543012,2704,22124
treatment_armPolicy treatment:disruptive,-0.026793482416160155,0.015973336350559888,-1.6773879813293362,0.09358221292477774,-0.058114666259783475,0.004527701427463164,2704,22124
treatment_armRevelation treatment:disruptive,-0.0024484386779030586,0.015994399881264224,-0.15308099685385193,0.878345823639967,-0.03381092477066879,0.028914047414862677,2704,22124
treatment_armAwareness treatment:disruptive,-0.01362547123645272,0.01616490761561465,-0.842904367934096,0.39935648189771533,-0.0453222960031901,0.018071353530284662,2704,22124
