term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs,harshness_group,n_teachers
boy_within,0.0016634440559289958,0.0076812193065381625,0.21655989622807567,0.8286000399941711,-0.013411585859644914,0.016738473971502906,907,7437,Lenient tercile,908
complex_background_within,0.012180726611724228,0.008123539305085404,1.4994359175561556,0.13410855694473325,-0.00376239298391917,0.028123846207367624,907,7437,Lenient tercile,908
failed_subjects_within,0.3319333877198654,0.008633800831977846,38.44580089112682,1.2705028171578102e-192,0.3149888375601809,0.3488779378795499,907,7437,Lenient tercile,908
low_competence_within,0.279681334683096,0.008879026630237492,31.499098530760367,1.0170992380980647e-147,0.26225550855701796,0.297107160809174,907,7437,Lenient tercile,908
absent_within,0.08744960415874052,0.007512874529167039,11.639966010245104,2.7700218624821893e-29,0.07270496483009337,0.10219424348738768,907,7437,Lenient tercile,908
disruptive_within,0.11528113512309897,0.00909226535203229,12.679033294747772,4.9431921061032214e-34,0.09743681032097364,0.13312545992522432,907,7437,Lenient tercile,908
boy_within,3.780328136524082e-4,0.00800494833698876,0.04722489112210981,0.9623449153822952,-0.015333412522798554,0.01608947815010337,863,7281,Middle tercile,864
complex_background_within,-0.039044176051412756,0.007179567365885044,-5.43823521134963,7.009320998342886e-8,-0.053135632418125904,-0.024952719684699608,863,7281,Middle tercile,864
failed_subjects_within,0.6533370263724061,0.012638934155566562,51.69241475038914,1.767828348023687e-266,0.6285303799411456,0.6781436728036666,863,7281,Middle tercile,864
low_competence_within,0.2890380467893251,0.01252698078123028,23.073241017692258,3.9521002720517465e-92,0.2644511331092415,0.3136249604694087,863,7281,Middle tercile,864
absent_within,0.09930911427180529,0.006148852335962414,16.150837399522864,1.8088518009481694e-51,0.08724065944968169,0.11137756909392889,863,7281,Middle tercile,864
disruptive_within,0.06697851940994047,0.0063607201460917666,10.530021423925442,1.7787171132931426e-24,0.054494228110519495,0.07946281070936144,863,7281,Middle tercile,864
boy_within,0.008682198794734811,0.007008343921063035,1.2388374332830807,0.21571761370563416,-0.005071764402831955,0.022436161992301577,932,7406,Harsh tercile,933
complex_background_within,-0.03809916786046739,0.007227424440557929,-5.27147231684186,1.6823011480621798e-7,-0.0522830793363115,-0.023915256384623274,932,7406,Harsh tercile,933
failed_subjects_within,0.6524823576080647,0.011154602468471778,58.494451904699496,3.2633183396e-314,0.630591309799501,0.6743734054166285,932,7406,Harsh tercile,933
low_competence_within,0.2496721612426792,0.01064393878756716,23.456745310703326,5.422273833884623e-96,0.22878329733841657,0.27056102514694186,932,7406,Harsh tercile,933
absent_within,0.007920256480427771,0.0075440360002929805,1.0498699211032636,0.2940500757807516,-0.00688500916832337,0.022725522129178912,932,7406,Harsh tercile,933
disruptive_within,-0.0423466172495297,0.008755480408504325,-4.836584090622579,1.5447743893024394e-6,-0.05952935780449371,-0.025163876694565684,932,7406,Harsh tercile,933
