term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
policy_treatment_x_boy_within,-0.013079522251221715,0.016307448904949215,-0.8020581470135502,0.42258980443371963,-0.04505584792062421,0.018896803418180785,2704,22124
revelation_treatment_x_boy_within,-0.010850296155463734,0.016211223830873513,-0.6693076518257589,0.5033563885057868,-0.04263793968800096,0.020937347377073492,2704,22124
awareness_treatment_x_boy_within,-0.001231238882014648,0.01653432774277734,-0.07446561488128767,0.9406454086867532,-0.03365243803519584,0.03118996027116654,2704,22124
policy_treatment_x_complex_background_within,-0.0049527412088931,0.016056196551217684,-0.30846291605202664,0.7577538751822959,-0.03643640078840309,0.026530918370616885,2704,22124
revelation_treatment_x_complex_background_within,-0.013325512679353089,0.016044233882250375,-0.8305483937188806,0.4063021232955323,-0.04478571535882901,0.01813469000012283,2704,22124
awareness_treatment_x_complex_background_within,-0.019670012395222404,0.01618114096435181,-1.2156134378012542,0.22423833226076886,-0.051398668188930956,0.012058643398486148,2704,22124
policy_treatment_x_failed_subjects_within,0.0016454224940672221,0.025960726843987023,0.0633812182515349,0.9494676275505924,-0.0492594530027856,0.05255029799092005,2704,22124
revelation_treatment_x_failed_subjects_within,0.0337226156267391,0.025850926274107646,1.3045031837221153,0.19217309248124342,-0.016966958335114996,0.0844121895885932,2704,22124
awareness_treatment_x_failed_subjects_within,-0.016466593115536287,0.025972812715424447,-0.6339934490713549,0.5261387238857194,-0.06739516709296288,0.03446198086189031,2704,22124
policy_treatment_x_low_competence_within,0.009133789616524068,0.022541022284361962,0.40520742587884834,0.6853571022090144,-0.03506558661253559,0.053333165845583716,2704,22124
revelation_treatment_x_low_competence_within,-0.013363454921681697,0.02245714180991325,-0.5950648143381572,0.5518499402562032,-0.05739835481947031,0.030671444976106913,2704,22124
awareness_treatment_x_low_competence_within,0.014506775003056829,0.02241283169216689,0.6472531093929926,0.5175230866273496,-0.02944123976856854,0.0584547897746822,2704,22124
policy_treatment_x_absent_within,-0.01697791767400506,0.015683335755747325,-1.0825450617406644,0.2791069292859573,-0.047730456261212306,0.013774620913202185,2704,22124
revelation_treatment_x_absent_within,-0.0050448768382820065,0.01565282122722938,-0.3222982467535006,0.7472516769438013,-0.035737581265822375,0.025647827589258362,2704,22124
awareness_treatment_x_absent_within,0.010280528952535674,0.015747139270308477,0.6528505766072573,0.5139081138419632,-0.020597118225987816,0.04115817613105917,2704,22124
policy_treatment_x_disruptive_within,-0.021840430456690187,0.017266146428390056,-1.2649279065987078,0.20600617390957957,-0.055696610198098406,0.012015749284718033,2704,22124
revelation_treatment_x_disruptive_within,-6.300471362363027e-4,0.017222662927182848,-0.03658244598411595,0.9708206405627755,-0.03440096261565284,0.03314086834318024,2704,22124
awareness_treatment_x_disruptive_within,-0.008393984466599056,0.01742252895732771,-0.48178909543833165,0.6299947666889386,-0.04255680559032659,0.025768836657128473,2704,22124
