"stage","grade","period","year_start","promotion_rate","repetition_rate"
"Lower secondary education","ESO 1","2007-08",2007,83.5,16.5
"Lower secondary education","ESO 1","2008-09",2008,84,16
"Lower secondary education","ESO 1","2009-10",2009,84.7,15.3
"Lower secondary education","ESO 1","2010-11",2010,84.7,15.3
"Lower secondary education","ESO 1","2011-12",2011,85.9,14.1
"Lower secondary education","ESO 1","2012-13",2012,86.4,13.6
"Lower secondary education","ESO 1","2013-14",2013,86.8,13.2
"Lower secondary education","ESO 1","2014-15",2014,87.8,12.2
"Lower secondary education","ESO 1","2015-16",2015,88.7,11.3
"Lower secondary education","ESO 1","2016-17",2016,89,11
"Lower secondary education","ESO 1","2017-18",2017,89.7,10.3
"Lower secondary education","ESO 1","2018-19",2018,89.7,10.3
"Lower secondary education","ESO 1","2019-20",2019,94.2,5.8
"Lower secondary education","ESO 1","2020-21",2020,91.6,8.40000000000001
"Lower secondary education","ESO 1","2021-22",2021,91.9,8.09999999999999
"Lower secondary education","ESO 1","2022-23",2022,91.9,8.09999999999999
"Lower secondary education","ESO 1","2023-24",2023,91.9,8.09999999999999
"Lower secondary education","ESO 2","2007-08",2007,81.3,18.7
"Lower secondary education","ESO 2","2008-09",2008,81.5,18.5
"Lower secondary education","ESO 2","2009-10",2009,82.8,17.2
"Lower secondary education","ESO 2","2010-11",2010,82.6,17.4
"Lower secondary education","ESO 2","2011-12",2011,83.2,16.8
"Lower secondary education","ESO 2","2012-13",2012,84,16
"Lower secondary education","ESO 2","2013-14",2013,84.7,15.3
"Lower secondary education","ESO 2","2014-15",2014,85,15
"Lower secondary education","ESO 2","2015-16",2015,85.7,14.3
"Lower secondary education","ESO 2","2016-17",2016,86.2,13.8
"Lower secondary education","ESO 2","2017-18",2017,87.5,12.5
"Lower secondary education","ESO 2","2018-19",2018,86.7,13.3
"Lower secondary education","ESO 2","2019-20",2019,92.5,7.5
"Lower secondary education","ESO 2","2020-21",2020,87.5,12.5
"Lower secondary education","ESO 2","2021-22",2021,91,9
"Lower secondary education","ESO 2","2022-23",2022,90.9,9.09999999999999
"Lower secondary education","ESO 2","2023-24",2023,90.6,9.40000000000001
"Lower secondary education","ESO 3","2007-08",2007,82.1,17.9
"Lower secondary education","ESO 3","2008-09",2008,82.3,17.7
"Lower secondary education","ESO 3","2009-10",2009,83.1,16.9
"Lower secondary education","ESO 3","2010-11",2010,83.5,16.5
"Lower secondary education","ESO 3","2011-12",2011,84.1,15.9
"Lower secondary education","ESO 3","2012-13",2012,85.1,14.9
"Lower secondary education","ESO 3","2013-14",2013,85.8,14.2
"Lower secondary education","ESO 3","2014-15",2014,86.9,13.1
"Lower secondary education","ESO 3","2015-16",2015,85.5,14.5
"Lower secondary education","ESO 3","2016-17",2016,85.3,14.7
"Lower secondary education","ESO 3","2017-18",2017,87,13
"Lower secondary education","ESO 3","2018-19",2018,86.6,13.4
"Lower secondary education","ESO 3","2019-20",2019,93.4,6.59999999999999
"Lower secondary education","ESO 3","2020-21",2020,87.6,12.4
"Lower secondary education","ESO 3","2021-22",2021,89.6,10.4
"Lower secondary education","ESO 3","2022-23",2022,91,9
"Lower secondary education","ESO 3","2023-24",2023,91.2,8.8
"Lower secondary education","ESO 4","2007-08",2007,81,19
