"hypothesis","estimate","std_error","p_value","ci_low","ci_high","mde_80","actual_mde_sd","n_actual"
"H1|1: Policy treatment vs Control",-0.00423618487308108,0.0134614060762808,0.753061252796506,-0.0306517425803775,0.0221793728342154,0.0377497602687676,0.196893812076831,1011
"H1|2: assigned Policy 1 vs Control",-0.0248178283086798,0.0164063127049239,0.130670277864214,-0.0570123828086162,0.00737672619125654,0.0460083257970276,0.239968534606678,1011
"H1|2: assigned Policy 2 vs Control",0.018691086653828,0.0162545127184624,0.250458045997692,-0.0132055865960603,0.0505877599037163,0.0455826321412553,0.237748217283729,1011
"H1|2: assigned Policy 3 vs Control",-0.000809523396160502,0.0161863526894353,0.960122195862053,-0.0325724443636987,0.0309533975713777,0.0453914905436144,0.236751267964368,1011
"H1|3: assigned favorite vs Control",-0.0105372331414924,0.0158050577110348,0.505165015014661,-0.0415637293097098,0.020489263026725,0.0443358081778902,0.231245078683964,1011
"H1|3: assigned least favorite vs Control",0.0065072173936989,0.0161719195937038,0.68751874106517,-0.0252394557586842,0.038253890546082,0.0453649166035076,0.236612664584313,1011
"H2|1: Revelation vs Policy",-0.0121424898200112,0.00969162184769231,0.210440440157389,-0.0311528771601927,0.00686789752017027,0.0271693575349289,0.141708936391748,1520
"H2|2: Revelation vs Policy: Policy 1",-0.007371729704716,0.0169434980602167,0.663568484028692,-0.0406069803183221,0.0258635209088901,0.0474992873476328,0.247745037060431,1520
"H2|2: Revelation vs Policy: Policy 2",0.0304455890843698,0.0166939967106295,0.0683879914233405,-0.00230025610347998,0.0631914342722196,0.0467998369593161,0.244096869434099,1520
"H2|2: Revelation vs Policy: Policy 3",0.00605688280401855,0.016194086403333,0.708443227317513,-0.0257083712279627,0.0378221368359998,0.0453983918002391,0.236787263285008,1520
"H2|3: favorite assigned, Revelation vs Policy",0.0127086126178879,0.0158294712746617,0.422426909051821,-0.0183881339901908,0.0438053592259665,0.044429991232174,0.231736315196698,1520
"H2|3: least favorite assigned, Revelation vs Policy",-0.021949612097762,0.0165245498056159,0.184710488932248,-0.054419176892778,0.010519952697254,0.046389387421892,0.241956061823316,1520
"H3|1: Awareness vs Revelation",-0.0109841980428181,0.0100050495235812,0.272435659359534,-0.0306092293080805,0.00864083322244427,0.0280478398894961,0.146290892367137,1535
"H3|2: Awareness vs Revelation: Policy 1",0.013862711208879,0.0173039840703237,0.423182013335683,-0.0200793779252308,0.0478048003429888,0.0485095638381667,0.253014400045959,1535
"H3|2: Awareness vs Revelation: Policy 2",0.00407299308766503,0.0171159557785406,0.811940407743823,-0.0295002750273373,0.0376462612026674,0.0479824499442469,0.25026509877269,1535
"H3|2: Awareness vs Revelation: Policy 3",0.0138559210460697,0.0171253299714719,0.418589834260271,-0.0197357347240959,0.0474475768162354,0.0480087293264162,0.250402165808282,1535
"H3|3: favorite assigned, Awareness vs Revelation",-0.022487430722706,0.0160901263469142,0.162802192580269,-0.0540934317868086,0.00911857034139672,0.0451583740246372,0.235535387393135,1535
"H3|3: least favorite assigned, Awareness vs Revelation",0.00136015537300047,0.0176052088963517,0.938449097666358,-0.0332303394937763,0.0359506502397772,0.0494202589586971,0.257764370182044,1535
