"variable","mean_importance","se_importance","ci_low","ci_high"
"Age",0.00222133260932945,8.62269168904859e-05,0.0020523278522241,0.0023903373664348
"Years teaching",0.00219138606146996,9.66050063995699e-05,0.0020020402489268,0.00238073187401311
"Years in current school",0.00182039989788,7.62311201080881e-05,0.00167098690246815,0.00196981289329186
"Permanent contract",0.00171363252199712,7.04633631508477e-05,0.00157552433022146,0.00185174071377278
"Primary education",0.00144963957240541,6.02142158597463e-05,0.00133161970932031,0.00156765943549051
"Resource skepticism",0.000911547734919633,6.2976034345175e-05,0.00078811470760309,0.00103498076223618
"Perceived impact on students",0.000640789436685424,5.61013549974347e-05,0.000530830780890452,0.000750748092480396
"Number of teaching groups",0.000450277346195971,5.85844582665352e-05,0.000335451807993562,0.00056510288439838
"Public school",0.000298485094678651,2.36707413097889e-05,0.000252090441711464,0.000344879747645837
"Belief in effort",0.00025382991147831,6.3784924060077e-05,0.000128811460320559,0.000378848362636061
"High empathy",0.000135719028099689,4.65627552935114e-05,4.4456027724407e-05,0.000226982028474972
"Female",-0.000134911464201589,4.0305579933246e-05,-0.000213910400870751,-5.59125275324264e-05
