"variable","mean_abs_shap","se_abs_shap","ci_low","ci_high"
"Resource skepticism",0.0183771045877301,0.000273597063769273,0.0178408543427423,0.0189133548327179
"Primary education",0.0139516111327519,0.000184056048392899,0.0135908612779018,0.014312360987602
"Age",0.0130969746544267,0.000206258737618275,0.0126927075286948,0.0135012417801585
"Years in current school",0.0117376737253592,0.000185542647070107,0.0113740101371018,0.0121013373136166
"Belief in effort",0.00952251060806584,0.000168157717302296,0.00919292148215334,0.00985209973397834
"Years teaching",0.0080948594815858,0.000135578184523245,0.00782912623992024,0.00836059272325136
"Number of teaching groups",0.00794643200983237,0.000143309668164725,0.0076655450602295,0.00822731895943523
"Perceived impact on students",0.00749850914255825,0.000132676142088016,0.00723846390406574,0.00775855438105076
"Permanent contract",0.00597360930503519,0.000114453195304493,0.00574928104223838,0.006197937567832
"High empathy",0.00537762361358354,0.000110884555043361,0.00516028988569855,0.00559495734146853
"Female",0.00532201266073354,0.000105311306059285,0.00511560250085734,0.00552842282060974
"Public school",0.00161800615258872,6.67844715066117e-05,0.00148710858843576,0.00174890371674168
