"term","estimate","std.error","statistic","p.value","model"
"(Intercept)",0.0144763831391988,0.0121244582200464,1.19398185687701,0.232596384154627,NA
"any_treatmentAny treatment",-0.0160665244004947,0.0127674921383087,-1.25839313049485,0.20836508976131,NA
"(Intercept)",0.0213029045065063,0.0123935680720601,1.71886775322849,0.0857603022207584,"assigned_policy"
"assignedPolicy 1",-0.025088085974718,0.0138399608461215,-1.8127281033276,0.0699917743099658,"assigned_policy"
"assignedPolicy 2",-0.00307767476383309,0.0138042664268247,-0.222950982592781,0.823591583491956,"assigned_policy"
"assignedPolicy 3",-0.00898770893163648,0.0138072688877227,-0.650940385439169,0.515143850879809,"assigned_policy"
"favoritePolicy 2",0.056866683933074,0.0134015725431828,4.24328441679788,2.28168978389955e-05,"assigned_policy"
"favoritePolicy 3",-0.0421042962080476,0.00805130780264107,-5.22949777106226,1.83826959589788e-07,"assigned_policy"
"(Intercept)",0.0182168526497163,0.0123773338105704,1.47179133475085,0.141250883766722,"alignment"
"assignationfavorite",-0.0105064227049927,0.0135147371680598,-0.777404885817771,0.437021412204088,"alignment"
"assignationleast-favorite",-0.00954055538312196,0.0136785191918615,-0.697484519289077,0.485589105571559,"alignment"
"favoritePolicy 2",0.0702955180941894,0.0157025338229775,4.47669904021008,8.05265618401292e-06,"alignment"
"favoritePolicy 3",-0.0367934593009392,0.0093411684455061,-3.93884978261365,8.49756874966898e-05,"alignment"
