"hypothesis","estimate","std_error","p_value","ci_low","ci_high","mde_80","equiv_margin","p_lower","p_upper","tost_p","equivalent"
"H1|1: Policy treatment vs Control",-0.00423618487308108,0.0134614060762808,0.753061252796506,-0.0306517425803775,0.0221793728342154,0.0377497602687676,0.02,0.120793190380012,0.0358986778473698,0.120793190380012,FALSE
"H1|1: Policy treatment vs Control",-0.00423618487308108,0.0134614060762808,0.753061252796506,-0.0306517425803775,0.0221793728342154,0.0377497602687676,0.03,0.0278177503061433,0.0054915356103871,0.0278177503061433,TRUE
"H1|1: Policy treatment vs Control",-0.00423618487308108,0.0134614060762808,0.753061252796506,-0.0306517425803775,0.0221793728342154,0.0377497602687676,0.05,0.000337515773750895,2.80263997420898e-05,0.000337515773750895,TRUE
"H1|2: assigned Policy 1 vs Control",-0.0248178283086798,0.0164063127049239,0.130670277864214,-0.0570123828086162,0.00737672619125654,0.0460083257970276,0.02,0.615489681569448,0.00315056660645822,0.615489681569448,FALSE
"H1|2: assigned Policy 1 vs Control",-0.0248178283086798,0.0164063127049239,0.130670277864214,-0.0570123828086162,0.00737672619125654,0.0460083257970276,0.03,0.376053010348277,0.000417141469160746,0.376053010348277,FALSE
"H1|2: assigned Policy 1 vs Control",-0.0248178283086798,0.0164063127049239,0.130670277864214,-0.0570123828086162,0.00737672619125654,0.0460083257970276,0.05,0.0624048627696248,2.55696405113196e-06,0.0624048627696248,FALSE
"H1|2: assigned Policy 2 vs Control",0.018691086653828,0.0162545127184624,0.250458045997692,-0.0132055865960603,0.0505877599037163,0.0455826321412553,0.02,0.00864952659463025,0.467909479696424,0.467909479696424,FALSE
"H1|2: assigned Policy 2 vs Control",0.018691086653828,0.0162545127184624,0.250458045997692,-0.0132055865960603,0.0505877599037163,0.0455826321412553,0.03,0.00137012026357727,0.243296669341891,0.243296669341891,FALSE
"H1|2: assigned Policy 2 vs Control",0.018691086653828,0.0162545127184624,0.250458045997692,-0.0132055865960603,0.0505877599037163,0.0455826321412553,0.05,1.19062031759247e-05,0.0270431498197013,0.0270431498197013,TRUE
"H1|2: assigned Policy 3 vs Control",-0.000809523396160502,0.0161863526894353,0.960122195862053,-0.0325724443636987,0.0309533975713777,0.0453914905436144,0.02,0.117892330392442,0.0992890793095468,0.117892330392442,FALSE
